metric,model,quantile,value,version
nv_inference_request_success,titanic,,1,1
nv_inference_request_failure,titanic,,0,1
nv_inference_count,titanic,,1,1
nv_inference_exec_count,titanic,,1,1
nv_inference_request_duration_us,titanic,,134324,1
nv_inference_queue_duration_us,titanic,,247,1
nv_inference_compute_input_duration_us,titanic,,1202,1
nv_inference_compute_infer_duration_us,titanic,,130703,1
nv_inference_compute_output_duration_us,titanic,,1593,1
nv_cpu_utilization,,,0.003775959723096287,
nv_cpu_memory_total_bytes,,,8308543488,
nv_cpu_memory_used_bytes,,,628924416,
nv_inference_request_summary_us_count,titanic,,1,1
nv_inference_request_summary_us_sum,titanic,,134324,1
nv_inference_request_summary_us,titanic,0.5,Nan,1
nv_inference_request_summary_us,titanic,0.9,Nan,1
nv_inference_request_summary_us,titanic,0.95,Nan,1
nv_inference_request_summary_us,titanic,0.99,Nan,1
nv_inference_queue_summary_us_count,titanic,,1,1
nv_inference_queue_summary_us_sum,titanic,,247,1
nv_inference_queue_summary_us,titanic,0.5,Nan,1
nv_inference_queue_summary_us,titanic,0.9,Nan,1
nv_inference_queue_summary_us,titanic,0.95,Nan,1
nv_inference_queue_summary_us,titanic,0.99,Nan,1
nv_inference_compute_input_summary_us_count,titanic,,1,1
nv_inference_compute_input_summary_us_sum,titanic,,1202,1
nv_inference_compute_input_summary_us,titanic,0.5,Nan,1
nv_inference_compute_input_summary_us,titanic,0.9,Nan,1
nv_inference_compute_input_summary_us,titanic,0.95,Nan,1
nv_inference_compute_input_summary_us,titanic,0.99,Nan,1
nv_inference_compute_infer_summary_us_count,titanic,,1,1
nv_inference_compute_infer_summary_us_sum,titanic,,130703,1
nv_inference_compute_infer_summary_us,titanic,0.5,Nan,1
nv_inference_compute_infer_summary_us,titanic,0.9,Nan,1
nv_inference_compute_infer_summary_us,titanic,0.95,Nan,1
nv_inference_compute_infer_summary_us,titanic,0.99,Nan,1
nv_inference_compute_output_summary_us_count,titanic,,1,1
nv_inference_compute_output_summary_us_sum,titanic,,1593,1
nv_inference_compute_output_summary_us,titanic,0.5,Nan,1
nv_inference_compute_output_summary_us,titanic,0.9,Nan,1
nv_inference_compute_output_summary_us,titanic,0.95,Nan,1
nv_inference_compute_output_summary_us,titanic,0.99,Nan,1
