metric,model,quantile,value,version,timestamp
nv_inference_request_success,titanic,,1,1.0,2025-06-27 06:26:45.738157
nv_inference_request_failure,titanic,,0,1.0,2025-06-27 06:27:45.738157
nv_inference_count,titanic,,1,1.0,2025-06-27 06:28:45.738157
nv_inference_exec_count,titanic,,1,1.0,2025-06-27 06:29:45.738157
nv_inference_request_duration_us,titanic,,134324,1.0,2025-06-27 06:30:45.738157
nv_inference_queue_duration_us,titanic,,247,1.0,2025-06-27 06:31:45.738157
nv_inference_compute_input_duration_us,titanic,,1202,1.0,2025-06-27 06:32:45.738157
nv_inference_compute_infer_duration_us,titanic,,130703,1.0,2025-06-27 06:33:45.738157
nv_inference_compute_output_duration_us,titanic,,1593,1.0,2025-06-27 06:34:45.738157
nv_cpu_utilization,,,0.003775959723096287,,2025-06-27 06:35:45.738157
nv_cpu_memory_total_bytes,,,8308543488,,2025-06-27 06:36:45.738157
nv_cpu_memory_used_bytes,,,628924416,,2025-06-27 06:37:45.738157
nv_inference_request_summary_us_count,titanic,,1,1.0,2025-06-27 06:38:45.738157
nv_inference_request_summary_us_sum,titanic,,134324,1.0,2025-06-27 06:39:45.738157
nv_inference_request_summary_us,titanic,0.5,Nan,1.0,2025-06-27 06:40:45.738157
nv_inference_request_summary_us,titanic,0.9,Nan,1.0,2025-06-27 06:41:45.738157
nv_inference_request_summary_us,titanic,0.95,Nan,1.0,2025-06-27 06:42:45.738157
nv_inference_request_summary_us,titanic,0.99,Nan,1.0,2025-06-27 06:43:45.738157
nv_inference_queue_summary_us_count,titanic,,1,1.0,2025-06-27 06:44:45.738157
nv_inference_queue_summary_us_sum,titanic,,247,1.0,2025-06-27 06:45:45.738157
nv_inference_queue_summary_us,titanic,0.5,Nan,1.0,2025-06-27 06:46:45.738157
nv_inference_queue_summary_us,titanic,0.9,Nan,1.0,2025-06-27 06:47:45.738157
nv_inference_queue_summary_us,titanic,0.95,Nan,1.0,2025-06-27 06:48:45.738157
nv_inference_queue_summary_us,titanic,0.99,Nan,1.0,2025-06-27 06:49:45.738157
nv_inference_compute_input_summary_us_count,titanic,,1,1.0,2025-06-27 06:50:45.738157
nv_inference_compute_input_summary_us_sum,titanic,,1202,1.0,2025-06-27 06:51:45.738157
nv_inference_compute_input_summary_us,titanic,0.5,Nan,1.0,2025-06-27 06:52:45.738157
nv_inference_compute_input_summary_us,titanic,0.9,Nan,1.0,2025-06-27 06:53:45.738157
nv_inference_compute_input_summary_us,titanic,0.95,Nan,1.0,2025-06-27 06:54:45.738157
nv_inference_compute_input_summary_us,titanic,0.99,Nan,1.0,2025-06-27 06:55:45.738157
nv_inference_compute_infer_summary_us_count,titanic,,1,1.0,2025-06-27 06:56:45.738157
nv_inference_compute_infer_summary_us_sum,titanic,,130703,1.0,2025-06-27 06:57:45.738157
nv_inference_compute_infer_summary_us,titanic,0.5,Nan,1.0,2025-06-27 06:58:45.738157
nv_inference_compute_infer_summary_us,titanic,0.9,Nan,1.0,2025-06-27 06:59:45.738157
nv_inference_compute_infer_summary_us,titanic,0.95,Nan,1.0,2025-06-27 07:00:45.738157
nv_inference_compute_infer_summary_us,titanic,0.99,Nan,1.0,2025-06-27 07:01:45.738157
nv_inference_compute_output_summary_us_count,titanic,,1,1.0,2025-06-27 07:02:45.738157
nv_inference_compute_output_summary_us_sum,titanic,,1593,1.0,2025-06-27 07:03:45.738157
nv_inference_compute_output_summary_us,titanic,0.5,Nan,1.0,2025-06-27 07:04:45.738157
nv_inference_compute_output_summary_us,titanic,0.9,Nan,1.0,2025-06-27 07:05:45.738157
nv_inference_compute_output_summary_us,titanic,0.95,Nan,1.0,2025-06-27 07:06:45.738157
nv_inference_compute_output_summary_us,titanic,0.99,Nan,1.0,2025-06-27 07:07:45.738157
